,player,runs,mins,bf,4s,6s,sr,inns_batting,unnamed:,overs,mdns,runs,wkts,econ,inns_batting,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country
7324,MG Bracewell,0*,1,1,0,0,0.00,1,,10.0,1,38,1,3.80,2,2,2,0,0,2,v Pakistan,Karachi,2025-02-19,NZ
11931,Saud Shakeel,6,16,19,0,0,31.57,2,,DNB,-,-,-,-,1,0,0,0,0,0,v New Zealand,Karachi,2025-02-19,PAK
8940,Mohammad Rizwan,3,26,14,0,0,21.42,2,,DNB,-,-,-,-,1,1,1,0,1,0,v New Zealand,Karachi,2025-02-19,PAK
2694,DP Conway,10,36,17,2,0,58.82,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Pakistan,Karachi,2025-02-19,NZ
13074,TWM Latham,118*,160,104,10,3,113.46,1,,DNB,-,-,-,-,2,1,1,0,1,0,v Pakistan,Karachi,2025-02-19,NZ
12078,Shaheen Shah Afridi,14,23,13,0,1,107.69,2,,10.0,0,68,0,6.80,1,1,1,0,0,1,v New Zealand,Karachi,2025-02-19,PAK
7506,MJ Henry,DNB,-,-,-,-,-,1,,7.2,1,25,2,3.40,2,1,1,0,0,1,v Pakistan,Karachi,2025-02-19,NZ
4021,Haris Rauf,19,11,10,0,3,190.00,2,,10.0,0,83,2,8.30,1,0,0,0,0,0,v New Zealand,Karachi,2025-02-19,PAK
1114,Agha Salman,42,34,28,6,1,150.00,2,,3.0,0,15,0,5.00,1,0,0,0,0,0,v New Zealand,Karachi,2025-02-19,PAK
6403,Khushdil Shah,69,49,49,10,1,140.81,2,,7.0,0,40,0,5.71,1,0,0,0,0,0,v New Zealand,Karachi,2025-02-19,PAK
13707,W O'Rourke,DNB,-,-,-,-,-,1,,9.0,0,47,3,5.22,2,0,0,0,0,0,v Pakistan,Karachi,2025-02-19,NZ
3315,GD Phillips,61,62,39,3,4,156.41,1,,9.0,0,63,0,7.00,2,1,1,0,0,1,v Pakistan,Karachi,2025-02-19,NZ
1019,Abrar Ahmed,0*,1,0,0,0,-,2,,10.0,0,47,1,4.70,1,0,0,0,0,0,v New Zealand,Karachi,2025-02-19,PAK
13356,Tayyab Tahir,1,3,5,0,0,20.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v New Zealand,Karachi,2025-02-19,PAK
9589,NG Smith,DNB,-,-,-,-,-,1,,2.0,0,20,1,10.00,2,0,0,0,0,0,v Pakistan,Karachi,2025-02-19,NZ
13742,WA Young,107,174,113,12,1,94.69,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Pakistan,Karachi,2025-02-19,NZ
6322,KS Williamson,1,3,2,0,0,50.00,1,,DNB,-,-,-,-,2,2,2,0,0,2,v Pakistan,Karachi,2025-02-19,NZ
9833,Naseem Shah,13,27,15,0,1,86.66,2,,10.0,0,63,2,6.30,1,0,0,0,0,0,v New Zealand,Karachi,2025-02-19,PAK
2693,DP Conway,48,100,74,5,0,64.86,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Pakistan,Karachi,2025-02-14,NZ
9588,NG Smith,DNB,-,-,-,-,-,2,,7.0,0,46,1,6.57,1,1,1,0,0,1,v Pakistan,Karachi,2025-02-14,NZ
13706,W O'Rourke,DNB,-,-,-,-,-,2,,9.3,0,43,4,4.52,1,0,0,0,0,0,v Pakistan,Karachi,2025-02-14,NZ
12973,TM Head,18,33,18,3,0,100.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
1797,Babar Azam,29,58,34,4,1,85.29,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
11930,Saud Shakeel,8,21,14,1,0,57.14,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
1667,BJ Dwarshuis,9,11,11,0,1,81.81,2,,10.0,1,47,1,4.70,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
6321,KS Williamson,34,66,49,3,1,69.38,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Pakistan,Karachi,2025-02-14,NZ
3081,Faheem Ashraf,22,33,21,2,0,104.76,1,,2.2,0,16,0,6.85,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
13741,WA Young,5,8,7,1,0,71.42,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Pakistan,Karachi,2025-02-14,NZ
7323,MG Bracewell,2*,7,3,0,0,66.66,2,,10.0,1,38,2,3.80,1,1,1,0,0,1,v Pakistan,Karachi,2025-02-14,NZ
12595,T Sangha,5*,10,16,0,0,31.25,2,,5.0,0,34,0,6.80,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
12077,Shaheen Shah Afridi,1,2,4,0,0,25.00,1,,9.0,0,45,1,5.00,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
8189,MW Short,2,14,8,0,0,25.00,2,,4.0,0,25,0,6.25,1,1,1,0,0,1,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
1113,Agha Salman,45,93,65,1,1,69.23,1,,10.0,0,45,1,4.50,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
4732,JA Duffy,DNB,-,-,-,-,-,2,,7.0,0,48,1,6.85,1,1,1,0,0,1,v Pakistan,Karachi,2025-02-14,NZ
3314,GD Phillips,20*,31,17,2,0,117.64,2,,6.0,0,41,0,6.83,1,1,1,0,0,1,v Pakistan,Karachi,2025-02-14,NZ
122,A Zampa,8,15,9,1,0,88.88,2,,8.0,0,47,1,5.87,1,1,1,0,0,1,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
13355,Tayyab Tahir,38,37,33,4,1,115.15,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
8939,Mohammad Rizwan,46,92,76,4,1,60.52,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
13073,TWM Latham,56,87,64,5,0,87.50,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Pakistan,Karachi,2025-02-14,NZ
3464,GJ Maxwell,1,2,3,0,0,33.33,2,,4.0,0,23,0,5.75,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
7640,MJ Santner,DNB,-,-,-,-,-,2,,10.0,1,20,2,2.00,1,1,1,0,0,1,v Pakistan,Karachi,2025-02-14,NZ
11248,SA Abbott,2,9,8,0,0,25.00,2,,10.0,0,41,1,4.10,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
6402,Khushdil Shah,7,29,18,0,0,38.88,1,,6.0,0,22,0,3.66,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
619,AM Hardie,0,3,4,0,0,0.00,2,,9.0,0,60,1,6.66,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
3147,Fakhar Zaman,10,20,15,2,0,66.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
4710,J Fraser-McGurk,9,9,9,2,0,100.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
5631,JP Inglis,22,35,27,4,0,81.48,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
9832,Naseem Shah,19,24,17,1,1,111.76,1,,8.0,0,43,2,5.37,2,0,0,0,0,0,v New Zealand,Karachi,2025-02-14,PAK
2539,DJ Mitchell,57,87,58,6,0,98.27,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Pakistan,Karachi,2025-02-14,NZ
1018,Abrar Ahmed,1*,1,1,0,0,100.00,1,,10.0,0,67,1,6.70,2,3,3,0,0,3,v New Zealand,Karachi,2025-02-14,PAK
11544,SPD Smith,29,56,34,3,1,85.29,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Sri Lanka,Colombo (RPS),2025-02-14,AUS
791,AT Carey,41,44,38,5,1,107.89,2,,DNB,-,-,-,-,1,3,3,0,3,0,v Sri Lanka,Colombo (RPS),2025-02-12,AUS
10493,RG Sharma,1,5,2,0,0,50.00,1,,DNB,-,-,-,-,2,1,1,0,0,1,v England,Ahmedabad,2025-02-12,IND
5009,JE Root,24,45,29,2,0,82.75,2,,5.0,0,47,1,9.40,1,0,0,0,0,0,v India,Ahmedabad,2025-02-12,ENG
7254,MA Wood,9,7,7,2,0,128.57,2,,9.0,1,45,2,5.00,1,0,0,0,0,0,v India,Ahmedabad,2025-02-12,ENG
