Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,Start Date,
MJ Henry (NZ),7.3,1,36,4,4.80,2,,v Netherlands,Hamilton,4 Apr 2022,
DJ Willey (ENG),8.2,0,36,4,4.32,1,,v Netherlands,Amstelveen,22 Jun 2022,
D Pretorius (SA),6.0,0,36,4,6.00,1,,v England,Manchester,22 Jul 2022,
Mohammad Wasim (1) (PAK),9.2,0,36,4,3.85,2,,v Netherlands,Rotterdam,21 Aug 2022,
MG Bracewell (NZ),10.0,0,36,4,3.60,2,,v Sri Lanka,Pallekele,17 Nov 2024,
Mashrafe Mortaza (BAN),10.0,1,37,4,3.70,2,,v West Indies,Providence,22 Jul 2018,
LH Ferguson (NZ),9.1,3,37,4,4.03,1,,v Afghanistan,Taunton,8 Jun 2019,
Rashid Khan (AFG),10.0,0,37,4,3.70,2,,v Sri Lanka,Pallekele,30 Nov 2022,
SN Thakur (IND),6.3,0,37,4,5.69,2,,v West Indies,Tarouba,1 Aug 2023,
Azmatullah Omarzai (AFG),7.0,0,37,4,5.28,1,,v Bangladesh,Sharjah,11 Nov 2024,
Shapoor Zadran (AFG),10.0,1,38,4,3.80,1,,v Scotland,Dunedin,26 Feb 2015,
JP Faulkner (AUS),10.0,1,38,4,3.80,1,,v Sri Lanka,Colombo (RPS),21 Aug 2016,
CR Woakes (ENG),8.0,0,38,4,4.75,2,,v South Africa,Leeds,24 May 2017,
Shadab Khan (PAK),10.0,1,38,4,3.80,1,,v New Zealand,Abu Dhabi,7 Nov 2018,
Shaheen Shah Afridi (PAK),9.0,1,38,4,4.22,1,,v New Zealand,Abu Dhabi,9 Nov 2018,
A Zampa (AUS),10.0,0,38,4,3.80,2,,v Pakistan,Lahore,29 Mar 2022,
TA Boult (NZ),10.0,2,38,4,3.80,1,,v Australia,Cairns,8 Sep 2022,
Mohammad Nawaz (3) (PAK),10.0,0,38,4,3.80,1,,v New Zealand,Karachi,11 Jan 2023,
MJ Potts (ENG),8.0,2,38,4,4.75,2,,v Australia,Lord's,27 Sep 2024,
M Morkel (SA),10.0,1,39,4,3.90,2,,v India,Rajkot,18 Oct 2015,
K Rabada (SA),9.0,1,39,4,4.33,1,,v England,Lord's,29 May 2017,
Kuldeep Yadav (IND),10.0,1,39,4,3.90,1,,v New Zealand,Napier,23 Jan 2019,
JJ Bumrah (IND),10.0,0,39,4,3.90,1,,v Afghanistan,Delhi,11 Oct 2023,
CR Woakes (ENG),9.5,0,40,4,4.06,1,,v Pakistan,Sharjah,17 Nov 2015,
TA Boult (NZ),9.0,1,40,4,4.44,2,,v Pakistan,Wellington,25 Jan 2016,
KJ Abbott (SA),8.0,0,40,4,5.00,1,,v Australia,Gqeberha,9 Oct 2016,
LE Plunkett (ENG),8.2,1,40,4,4.80,2,,v West Indies,North Sound,3 Mar 2017,
AL Phehlukwayo (SA),10.0,1,40,4,4.00,2,,v Bangladesh,Paarl,18 Oct 2017,
LH Ferguson (NZ),8.0,0,40,4,5.00,2,,v Sri Lanka,Nelson,8 Jan 2019,
Mohammed Shami (IND),9.5,1,40,4,4.06,2,,v Afghanistan,Southampton,22 Jun 2019,
TA Boult (NZ),10.0,2,40,4,4.00,2,,v Australia,Cairns,6 Sep 2022,
GJ Maxwell (AUS),10.0,0,40,4,4.00,2,,v India,Rajkot,27 Sep 2023,
Mohammad Hafeez (PAK),10.0,1,41,4,4.10,1,,v Sri Lanka,Dambulla,11 Jul 2015,
K Rabada (SA),7.0,0,41,4,5.85,2,,v India,Wankhede,25 Oct 2015,
CR Woakes (ENG),5.4,1,41,4,7.23,2,,v Pakistan,Nottingham,30 Aug 2016,
PJ Cummins (AUS),10.0,0,41,4,4.10,2,,v New Zealand,Canberra,6 Dec 2016,
AU Rashid (ENG),10.0,1,41,4,4.10,1,,v Australia,Birmingham,10 Jun 2017,
K Rabada (SA),8.0,0,41,4,5.12,1,,v Sri Lanka,Dambulla,29 Jul 2018,
Mohammad Saifuddin (BAN),6.3,0,41,4,6.30,2,,v Zimbabwe,Sylhet,6 Mar 2020,
Wahab Riaz (PAK),9.4,0,41,4,4.24,2,,v Zimbabwe,Rawalpindi,30 Oct 2020,
Mohammad Nawaz (3) (PAK),10.0,0,42,4,4.20,2,,v West Indies,Sharjah,30 Sep 2016,
MA Starc (AUS),9.1,1,42,4,4.58,2,,v Pakistan,Adelaide,26 Jan 2017,
Shakib Al Hasan (BAN),10.0,1,42,4,4.20,1,,v Afghanistan,Abu Dhabi,20 Sep 2018,
Naveen-ul-Haq (AFG),10.0,0,42,4,4.20,1,,v Ireland,Abu Dhabi,24 Jan 2021,
S Mahmood (ENG),10.0,1,42,4,4.20,1,,v Pakistan,Cardiff,8 Jul 2021,
Ebadot Hossain (BAN),6.5,0,42,4,6.14,2,,v Ireland,Sylhet,18 Mar 2023,
AU Rashid (ENG),10.0,0,43,4,4.30,1,,v Bangladesh,Chattogram,12 Oct 2016,
JJ Bumrah (IND),10.0,2,43,4,4.30,1,,v Sri Lanka,Pallekele,24 Aug 2017,
