Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
RG Sharma (IND),124*,-,145,16,2,85.51,2,,v Sri Lanka,Pallekele,27 Aug 2017,
HM Nicholls (NZ),124*,-,80,12,3,155.00,1,,v Sri Lanka,Nelson,8 Jan 2019,
Shakib Al Hasan (BAN),124*,170,99,16,0,125.25,2,,v West Indies,Taunton,17 Jun 2019,
LS Livingstone (ENG),124*,119,85,5,9,145.88,2,,v West Indies,North Sound,2 Nov 2024,
HM Amla (SA),124,193,126,13,3,98.41,1,,v New Zealand,Centurion,19 Aug 2015,
RG Sharma (IND),124,175,127,11,3,97.63,1,,v Australia,Brisbane,15 Jan 2016,
AJ Finch (AUS),124,154,125,12,5,99.20,1,,v India,Indore,24 Sep 2017,
DA Warner (AUS),124,134,119,12,4,104.20,1,,v India,Bengaluru,28 Sep 2017,
Mohammad Shahzad (AFG),124,-,116,11,7,106.89,1,,v India,Dubai (DICS),25 Sep 2018,
JM Bairstow (ENG),124,174,112,11,7,110.71,2,,v India,Pune,26 Mar 2021,
Q de Kock (SA),124,171,130,12,2,95.38,1,,v India,Cape Town,23 Jan 2022,
M Labuschagne (AUS),124,135,99,19,1,125.25,1,,v South Africa,Bloemfontein,9 Sep 2023,
RG Sharma (IND),123*,165,129,15,1,95.34,2,,v Bangladesh,Birmingham,15 Jun 2017,
H Klaasen (SA),123*,176,114,7,3,107.89,1,,v Australia,Paarl,29 Feb 2020,
HE van der Dussen (SA),123*,196,134,10,2,91.79,1,,v Pakistan,Centurion,2 Apr 2021,
R Ravindra (NZ),123*,141,96,11,5,128.12,2,,v England,Ahmedabad,5 Oct 2023,
Babar Azam (PAK),123,164,126,9,1,97.61,1,,v West Indies,Sharjah,2 Oct 2016,
JJ Roy (ENG),123,118,85,15,3,144.70,2,,v West Indies,Bridgetown,20 Feb 2019,
V Kohli (IND),123,-,95,16,1,129.47,2,,v Australia,Ranchi,8 Mar 2019,
RG Sharma (IND),122*,212,144,13,2,84.72,2,,v South Africa,Southampton,5 Jun 2019,
V Kohli (IND),122*,147,94,9,3,129.78,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
Najmul Hossain Shanto (BAN),122*,198,129,13,2,94.57,2,,v Sri Lanka,Chattogram,13 Mar 2024,
Mohammad Rizwan (PAK),122*,168,128,9,3,95.31,2,,v South Africa,Karachi,12 Feb 2025,
DA Warner (AUS),122,171,113,9,3,107.96,1,,v India,Sydney,23 Jan 2016,
RR Rossouw (SA),122,156,118,14,2,103.38,1,,v Australia,Cape Town,12 Oct 2016,
V Kohli (IND),122,147,105,8,5,116.19,2,,v England,Pune,15 Jan 2017,
DA Warner (AUS),122,168,117,15,2,104.27,2,,v South Africa,Manchester,6 Jul 2019,
PD Salt (ENG),122,137,93,14,3,131.18,1,,v Netherlands,Amstelveen,17 Jun 2022,
Ibrahim Zadran (AFG),121*,-,141,16,0,85.81,2,,v Zimbabwe,Harare,6 Jun 2022,
JE Root (ENG),121,151,108,14,2,112.03,1,,v Sri Lanka,Wellington,1 Mar 2015,
V Kohli (IND),121,203,125,9,2,96.80,1,,v New Zealand,Wankhede,22 Oct 2017,
Litton Das (BAN),121,-,117,12,2,103.41,1,,v India,Dubai (DICS),28 Sep 2018,
Q de Kock (SA),121,131,108,16,2,112.03,1,,v Sri Lanka,Durban,10 Mar 2019,
Shakib Al Hasan (BAN),121,147,119,12,1,101.68,2,,v England,Cardiff,8 Jun 2019,
JN Malan (SA),121,197,135,9,1,89.62,1,,v Sri Lanka,Colombo (RPS),4 Sep 2021,
Shubman Gill (IND),121,185,133,8,5,90.97,2,,v Bangladesh,Colombo (RPS),15 Sep 2023,
MR Marsh (AUS),121,139,108,10,9,112.03,1,,v Pakistan,Bengaluru,20 Oct 2023,
Rahmanullah Gurbaz (AFG),121,155,117,8,6,103.41,1,,v Ireland,Sharjah,7 Mar 2024,
JP Inglis (AUS),120*,134,86,8,6,139.53,2,,v England,Lahore,22 Feb 2025,
Babar Azam (PAK),120,177,131,8,3,91.60,1,,v West Indies,Sharjah,30 Sep 2016,
KM Jadhav (IND),120,125,76,12,4,157.89,2,,v England,Pune,15 Jan 2017,
F du Plessis (SA),120,183,112,11,2,107.14,1,,v India,Durban,1 Feb 2018,
