Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
Imam-ul-Haq (PAK),113,180,122,8,0,92.62,1,,v Zimbabwe,Bulawayo,20 Jul 2018,
Rahmat Shah (AFG),113,-,115,11,2,98.26,2,,v Scotland,Edinburgh,10 May 2019,
V Kohli (IND),113,174,91,11,2,124.17,1,,v Bangladesh,Chattogram,10 Dec 2022,
V Kohli (IND),113,117,87,12,1,129.88,1,,v Sri Lanka,Guwahati,10 Jan 2023,
JJ Roy (ENG),113,140,91,11,4,124.17,2,,v South Africa,Bloemfontein,27 Jan 2023,
DJ Mitchell (NZ),113,162,115,11,1,98.26,1,,v Pakistan,Rawalpindi,27 Apr 2023,
Abdullah Shafique (PAK),113,150,103,10,3,109.70,2,,v Sri Lanka,Hyderabad,10 Oct 2023,
LRPL Taylor (NZ),112*,168,122,6,3,91.80,1,,v Zimbabwe,Harare,2 Aug 2015,
JJ Roy (ENG),112*,135,95,7,4,117.89,2,,v Sri Lanka,Birmingham,24 Jun 2016,
KS Williamson (NZ),112*,202,143,6,2,78.32,2,,v England,Wellington,3 Mar 2018,
F du Plessis (SA),112*,161,114,15,1,98.24,2,,v Sri Lanka,Johannesburg,3 Mar 2019,
Mehidy Hasan Miraz (BAN),112*,178,119,7,3,94.11,1,,v Afghanistan,Lahore,3 Sep 2023,
T Stubbs (SA),112*,119,81,8,3,138.27,1,,v Ireland,Abu Dhabi,4 Oct 2024,
Shoaib Malik (PAK),112,124,76,12,2,147.36,1,,v Zimbabwe,Lahore,26 May 2015,
AB de Villiers (SA),112,128,107,10,2,104.67,2,,v India,Chennai,22 Oct 2015,
GJ Bailey (AUS),112,137,120,7,2,93.33,2,,v India,W.A.C.A,12 Jan 2016,
AD Hales (ENG),112,195,128,14,0,87.50,1,,v South Africa,Cape Town,14 Feb 2016,
Imrul Kayes (BAN),112,212,119,11,2,94.11,2,,v England,Mirpur,7 Oct 2016,
V Kohli (IND),112,164,119,10,0,94.11,2,,v South Africa,Durban,1 Feb 2018,
Abid Ali (PAK),112,-,119,9,0,94.11,2,,v Australia,Dubai (DICS),29 Mar 2019,
KL Rahul (IND),112,150,113,9,2,99.11,1,,v New Zealand,Mount Maunganui,11 Feb 2020,
JM Bairstow (ENG),112,177,126,12,2,88.88,1,,v Australia,Manchester,16 Sep 2020,
Tamim Iqbal (BAN),112,149,97,8,3,115.46,2,,v Zimbabwe,Harare,20 Jul 2021,
Shubman Gill (IND),112,120,78,13,5,143.58,1,,v New Zealand,Indore,24 Jan 2023,
Shubman Gill (IND),112,141,102,14,3,109.80,1,,v England,Ahmedabad,12 Feb 2025,
R Ravindra (NZ),112,149,105,12,1,106.66,2,,v Bangladesh,Rawalpindi,24 Feb 2025,
V Kohli (IND),111*,-,115,12,2,96.52,2,,v West Indies,Kingston,6 Jul 2017,
RG Sharma (IND),111*,-,119,7,4,93.27,2,,v Pakistan,Dubai (DICS),23 Sep 2018,
DP Conway (NZ),111*,177,121,13,1,91.73,2,,v England,Cardiff,8 Sep 2023,
KL Rahul (IND),111*,141,106,12,2,104.71,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
F du Plessis (SA),111,146,93,13,0,119.35,1,,v Australia,Johannesburg,2 Oct 2016,
JM Bairstow (ENG),111,138,109,10,6,101.83,1,,v India,Birmingham,30 Jun 2019,
KL Rahul (IND),111,180,118,11,1,94.06,2,,v Sri Lanka,Leeds,6 Jul 2019,
HE van der Dussen (SA),111,168,117,6,1,94.87,1,,v England,Bloemfontein,27 Jan 2023,
Mahmudullah (BAN),111,150,111,11,4,100.00,2,,v South Africa,Wankhede,24 Oct 2023,
SK Raina (IND),110*,141,104,9,4,105.76,2,,v Zimbabwe,Auckland,14 Mar 2015,
TWM Latham (NZ),110*,169,116,7,2,94.82,2,,v Zimbabwe,Harare,4 Aug 2015,
V Kohli (IND),110*,-,116,9,0,94.82,2,,v Sri Lanka,Colombo (RPS),3 Sep 2017,
Mushfiqur Rahim (BAN),110*,160,116,11,2,94.82,1,,v South Africa,Kimberley,15 Oct 2017,
HM Amla (SA),110*,188,112,8,0,98.21,2,,v Bangladesh,Kimberley,15 Oct 2017,
JC Buttler (ENG),110*,-,122,12,1,90.16,2,,v Australia,Manchester,24 Jun 2018,
JC Buttler (ENG),110*,66,55,6,9,200.00,1,,v Pakistan,Southampton,11 May 2019,
AJ Finch (AUS),110*,-,114,13,2,96.49,2,,v India,Wankhede,14 Jan 2020,
TWM Latham (NZ),110*,153,108,10,0,101.85,2,,v Bangladesh,Christchurch,23 Mar 2021,
HC Brook (ENG),110*,153,94,13,2,117.02,2,,v Australia,Chester-le-Street,24 Sep 2024,
LRPL Taylor (NZ),110,173,123,12,0,89.43,2,,v England,Southampton,14 Jun 2015,
HM Amla (SA),110,133,99,13,0,111.11,1,,v West Indies,Basseterre,15 Jun 2016,
AD Hales (ENG),110,-,107,9,5,102.80,1,,v West Indies,Bridgetown,9 Mar 2017,
Imam-ul-Haq (PAK),110,158,105,8,1,104.76,1,,v Zimbabwe,Bulawayo,22 Jul 2018,
T Bavuma (SA),110,200,143,8,0,76.92,1,,v India,Paarl,19 Jan 2022,
NT Broom (NZ),109*,-,107,8,3,101.86,1,,v Bangladesh,Nelson,29 Dec 2016,
LRPL Taylor (NZ),109*,139,84,10,4,129.76,2,,v India,Hamilton,5 Feb 2020,
Iftikhar Ahmed (PAK),109*,102,71,11,4,153.52,1,,v Nepal,Multan,30 Aug 2023,
F du Plessis (SA),109,139,109,10,1,100.00,1,,v Ireland,Canberra,3 Mar 2015,
Q de Kock (SA),109,120,87,17,1,125.28,1,,v India,Wankhede,25 Oct 2015,
AD Hales (ENG),109,166,117,7,3,93.16,1,,v Pakistan,Abu Dhabi,13 Nov 2015,
JE Root (ENG),109,-,124,10,1,87.90,1,,v South Africa,Johannesburg,12 Feb 2016,
DA Warner (AUS),109,157,120,11,2,90.83,1,,v South Africa,Basseterre,11 Jun 2016,
Q de Kock (SA),109,111,87,16,0,125.28,1,,v Sri Lanka,Centurion,10 Feb 2017,
S Dhawan (IND),109,163,105,10,2,103.80,1,,v South Africa,Johannesburg,10 Feb 2018,
Fakhar Zaman (PAK),109,168,109,12,1,100.00,1,,v Netherlands,Rotterdam,16 Aug 2022,
T Bavuma (SA),109,117,102,14,1,106.86,2,,v England,Bloemfontein,29 Jan 2023,
Q de Kock (SA),109,147,106,8,5,102.83,1,,v Australia,Lucknow,12 Oct 2023,
H Klaasen (SA),109,119,67,12,4,162.68,1,,v England,Wankhede,21 Oct 2023,
TM Head (AUS),109,94,67,10,7,162.68,1,,v New Zealand,Dharamsala,28 Oct 2023,
Saim Ayub (PAK),109,172,119,10,3,91.59,2,,v South Africa,Paarl,17 Dec 2024,
SPD Smith (AUS),108*,157,104,11,1,103.84,2,,v Pakistan,W.A.C.A,19 Jan 2017,
Rahmat Shah (AFG),108*,164,128,10,1,84.37,2,,v Ireland,Greater Noida,24 Mar 2017,
HM Amla (SA),108*,212,120,7,1,90.00,1,,v Pakistan,Gqeberha,19 Jan 2019,
SPD Smith (AUS),108,136,107,9,1,100.93,1,,v South Africa,Durban,5 Oct 2016,
M Labuschagne (AUS),108,163,108,8,0,100.00,1,,v South Africa,Potchefstroom,7 Mar 2020,
GJ Maxwell (AUS),108,138,90,4,7,120.00,2,,v England,Manchester,16 Sep 2020,
KL Rahul (IND),108,156,114,7,2,94.73,1,,v England,Pune,26 Mar 2021,
HE van der Dussen (SA),108,161,110,13,2,98.18,1,,v Sri Lanka,Delhi,7 Oct 2023,
R Ravindra (NZ),108,170,94,15,1,114.89,1,,v Pakistan,Bengaluru,4 Nov 2023,
BA Stokes (ENG),108,136,84,6,6,128.57,1,,v Netherlands,Pune,8 Nov 2023,
SV Samson (IND),108,167,114,6,3,94.73,1,,v South Africa,Paarl,21 Dec 2023,
BM Duckett (ENG),107*,-,78,12,2,137.17,1,,v Ireland,Bristol,26 Sep 2023,
Mushfiqur Rahim (BAN),107,171,109,9,1,98.16,1,,v Zimbabwe,Mirpur,7 Nov 2015,
AJ Finch (AUS),107,153,107,9,2,100.00,1,,v India,Canberra,20 Jan 2016,
LRPL Taylor (NZ),107,147,101,13,0,105.94,1,,v Australia,Hamilton,5 Feb 2017,
EJG Morgan (ENG),107,179,116,11,2,92.24,1,,v West Indies,North Sound,3 Mar 2017,
EJG Morgan (ENG),107,135,93,7,5,115.05,1,,v South Africa,Leeds,24 May 2017,
AJ Finch (AUS),107,138,119,10,3,89.91,1,,v England,Melbourne,14 Jan 2018,
V Kohli (IND),107,-,119,10,1,89.91,2,,v West Indies,Pune,27 Oct 2018,
JE Root (ENG),107,168,104,10,1,102.88,2,,v Pakistan,Nottingham,3 Jun 2019,
DA Warner (AUS),107,161,111,11,1,96.39,1,,v Pakistan,Taunton,12 Jun 2019,
Q de Kock (SA),107,152,113,11,1,94.69,2,,v England,Cape Town,4 Feb 2020,
Babar Azam (PAK),107,190,117,10,0,91.45,1,,v New Zealand,Karachi,5 May 2023,
BM Duckett (ENG),107,137,91,13,2,117.58,1,,v Australia,Bristol,29 Sep 2024,
WA Young (NZ),107,174,113,12,1,94.69,1,,v Pakistan,Karachi,19 Feb 2025,
JE Root (ENG),106*,139,97,13,0,109.27,2,,v New Zealand,Nottingham,17 Jun 2015,
Babar Azam (PAK),106*,111,76,9,2,139.47,1,,v Zimbabwe,Bulawayo,22 Jul 2018,
KS Williamson (NZ),106*,216,138,9,1,76.81,2,,v South Africa,Birmingham,19 Jun 2019,
Rahmanullah Gurbaz (AFG),106*,185,110,7,4,96.36,2,,v Bangladesh,Chattogram,28 Feb 2022,
GD Phillips (NZ),106*,106,74,6,7,143.24,1,,v Pakistan,Lahore,8 Feb 2025,
Mushfiqur Rahim (BAN),106,117,77,13,2,137.66,1,,v Pakistan,Mirpur,17 Apr 2015,
V Kohli (IND),106,131,92,11,1,115.21,2,,v Australia,Canberra,20 Jan 2016,
DA Warner (AUS),106,167,126,9,0,84.12,2,,v Sri Lanka,Pallekele,4 Sep 2016,
AJ Finch (AUS),106,-,114,9,1,92.98,1,,v England,Brisbane,19 Jan 2018,
SE Marsh (AUS),106,-,102,7,4,103.92,2,,v South Africa,Hobart,11 Nov 2018,
JM Bairstow (ENG),106,147,99,15,1,107.07,1,,v New Zealand,Chester-le-Street,3 Jul 2019,
EJG Morgan (ENG),106,100,84,15,4,126.19,1,,v Ireland,Southampton,4 Aug 2020,
AT Carey (AUS),106,168,114,7,2,92.98,2,,v England,Manchester,16 Sep 2020,
Imam-ul-Haq (PAK),106,156,97,6,3,109.27,2,,v Australia,Lahore,31 Mar 2022,
MJ Guptill (NZ),106,159,123,11,2,86.17,1,,v Netherlands,Hamilton,4 Apr 2022,
DA Warner (AUS),106,168,102,8,2,103.92,1,,v England,Melbourne,22 Nov 2022,
Ibrahim Zadran (AFG),106,174,120,11,0,88.33,1,,v Sri Lanka,Pallekele,25 Nov 2022,
DA Warner (AUS),106,137,93,12,3,113.97,1,,v South Africa,Bloemfontein,9 Sep 2023,
AK Markram (SA),106,84,54,14,3,196.29,1,,v Sri Lanka,Delhi,7 Oct 2023,
GJ Maxwell (AUS),106,53,44,9,8,240.90,1,,v Netherlands,Delhi,25 Oct 2023,
KM Jadhav (IND),105*,110,87,12,1,120.68,1,,v Zimbabwe,Harare,14 Jul 2015,
Babar Azam (PAK),105*,144,115,12,0,91.30,2,,v Australia,Lahore,2 Apr 2022,
MJ Guptill (NZ),105,132,100,11,2,105.00,2,,v Bangladesh,Hamilton,13 Mar 2015,
SPD Smith (AUS),105,121,93,11,2,112.90,1,,v India,Sydney,26 Mar 2015,
JC Buttler (ENG),105,109,76,11,5,138.15,1,,v South Africa,Bloemfontein,3 Feb 2016,
Sarfaraz Ahmed (PAK),105,160,130,6,0,80.76,1,,v England,Lord's,27 Aug 2016,
F du Plessis (SA),105,164,120,7,1,87.50,1,,v Sri Lanka,Durban,1 Feb 2017,
JM Bairstow (ENG),105,-,59,12,6,177.96,2,,v Scotland,Edinburgh,10 Jun 2018,
SPD Smith (AUS),105,-,66,11,4,159.09,1,,v India,Sydney,27 Nov 2020,
SPD Smith (AUS),105,174,131,11,1,80.15,1,,v New Zealand,Cairns,11 Sep 2022,
SS Iyer (IND),105,118,90,11,3,116.66,1,,v Australia,Indore,24 Sep 2023,
SS Iyer (IND),105,114,70,4,8,150.00,1,,v New Zealand,Wankhede,15 Nov 2023,
WA Young (NZ),105,145,84,14,4,125.00,1,,v Bangladesh,Dunedin,17 Dec 2023,
Rahmanullah Gurbaz (AFG),105,152,110,10,3,95.45,1,,v South Africa,Sharjah,20 Sep 2024,
AB de Villiers (SA),104*,116,73,5,6,142.46,1,,v India,Kanpur,11 Oct 2015,
MK Pandey (IND),104*,129,81,8,1,128.39,2,,v Australia,Sydney,23 Jan 2016,
Najibullah Zadran (AFG),104*,-,98,5,5,106.12,1,,v Ireland,Dehradun,5 Mar 2019,
JE Root (ENG),104,108,78,13,2,133.33,1,,v New Zealand,Birmingham,9 Jun 2015,
TWM Latham (NZ),104,-,111,9,4,93.69,1,,v Ireland,Dublin (Malahide),21 May 2017,
RG Sharma (IND),104,-,88,11,3,118.18,1,,v Sri Lanka,Colombo (RPS),31 Aug 2017,
JM Bairstow (ENG),104,82,60,9,6,173.33,2,,v New Zealand,Christchurch,10 Mar 2018,
V Kohli (IND),104,150,112,5,2,92.85,2,,v Australia,Adelaide,15 Jan 2019,
UT Khawaja (AUS),104,-,113,11,1,92.03,1,,v India,Ranchi,8 Mar 2019,
Mohammad Rizwan (PAK),104,-,102,9,1,101.96,2,,v Australia,Dubai (DICS),29 Mar 2019,
RG Sharma (IND),104,121,92,7,5,113.04,1,,v Bangladesh,Birmingham,2 Jul 2019,
SPD Smith (AUS),104,-,64,14,2,162.50,1,,v India,Sydney,29 Nov 2020,
BR McDermott (AUS),104,149,108,10,4,96.29,1,,v Pakistan,Lahore,31 Mar 2022,
Najmul Hossain Shanto (BAN),104,142,105,9,2,99.04,1,,v Afghanistan,Lahore,3 Sep 2023,
Shubman Gill (IND),104,155,97,6,4,107.21,1,,v Australia,Indore,24 Sep 2023,
DA Warner (AUS),104,182,93,11,3,111.82,1,,v Netherlands,Delhi,25 Oct 2023,
Sediqullah Atal (AFG),104,169,128,8,4,81.25,1,,v Zimbabwe,Harare,19 Dec 2024,
MJ Guptill (NZ),103*,189,134,9,3,76.86,2,,v South Africa,Potchefstroom,23 Aug 2015,
TWM Latham (NZ),103*,148,102,8,2,100.98,2,,v India,Wankhede,22 Oct 2017,
Rahmat Shah (AFG),103*,156,109,10,2,94.49,2,,v Ireland,Abu Dhabi,24 Jan 2021,
WA Young (NZ),103*,150,114,8,3,90.35,2,,v Netherlands,Mount Maunganui,29 Mar 2022,
V Kohli (IND),103*,113,97,6,4,106.18,2,,v Bangladesh,Pune,19 Oct 2023,
Mahmudullah (BAN),103,184,138,7,2,74.63,1,,v England,Adelaide,9 Mar 2015,
Mohammad Hafeez (PAK),103,115,95,10,4,108.42,2,,v Sri Lanka,Dambulla,11 Jul 2015,
Q de Kock (SA),103,174,118,11,1,87.28,1,,v India,Rajkot,18 Oct 2015,
HM Amla (SA),103,202,115,5,2,89.56,1,,v Sri Lanka,The Oval,3 Jun 2017,
AM Rahane (IND),103,-,104,10,2,99.03,1,,v West Indies,Port of Spain,25 Jun 2017,
Babar Azam (PAK),103,-,131,5,0,78.62,1,,v Sri Lanka,Dubai (DICS),13 Oct 2017,
Tamim Iqbal (BAN),103,-,124,7,2,83.06,1,,v West Indies,Basseterre,28 Jul 2018,
EJG Morgan (ENG),103,-,88,8,6,117.04,1,,v West Indies,St George's,27 Feb 2019,
JC Buttler (ENG),103,103,76,9,2,135.52,2,,v Pakistan,Nottingham,3 Jun 2019,
RG Sharma (IND),103,133,94,14,2,109.57,2,,v Sri Lanka,Leeds,6 Jul 2019,
SS Iyer (IND),103,161,107,11,1,96.26,1,,v New Zealand,Hamilton,5 Feb 2020,
Babar Azam (PAK),103,132,104,17,0,99.03,2,,v South Africa,Centurion,2 Apr 2021,
Rahmanullah Gurbaz (AFG),103,-,127,6,3,81.10,1,,v Netherlands,Doha,23 Jan 2022,
Imam-ul-Haq (PAK),103,177,96,6,3,107.29,2,,v Australia,Lahore,29 Mar 2022,
Babar Azam (PAK),103,184,107,9,0,96.26,2,,v West Indies,Multan,8 Jun 2022,
Kamran Ghulam (PAK),103,130,99,10,4,104.04,1,,v Zimbabwe,Bulawayo,28 Nov 2024,
RD Rickelton (SA),103,154,106,7,1,97.16,1,,v Afghanistan,Karachi,21 Feb 2025,
Mohammad Hafeez (PAK),102*,171,130,10,1,78.46,2,,v England,Abu Dhabi,11 Nov 2015,
MR Marsh (AUS),102*,126,84,9,2,121.42,1,,v India,Sydney,23 Jan 2016,
LRPL Taylor (NZ),102*,164,110,8,0,92.72,1,,v South Africa,Christchurch,22 Feb 2017,
Mahmudullah (BAN),102*,158,107,8,2,95.32,2,,v New Zealand,Cardiff,9 Jun 2017,
BA Stokes (ENG),102*,136,109,13,2,93.57,2,,v Australia,Birmingham,10 Jun 2017,
Mushfiqur Rahim (BAN),102*,146,97,9,1,105.15,2,,v Australia,Nottingham,20 Jun 2019,
AK Markram (SA),102*,108,74,9,4,137.83,1,,v Australia,Potchefstroom,12 Sep 2023,
GJ Maxwell (AUS),102,73,53,10,4,192.45,1,,v Sri Lanka,Sydney,8 Mar 2015,
Azhar Ali (PAK),102,171,104,8,0,98.07,2,,v Zimbabwe,Lahore,29 May 2015,
JJ Roy (ENG),102,150,117,8,1,87.17,1,,v Pakistan,Dubai (DICS),20 Nov 2015,
MJ Guptill (NZ),102,157,109,9,3,93.57,1,,v Sri Lanka,Mount Maunganui,5 Jan 2016,
EJG Morgan (ENG),102,129,81,6,5,125.92,2,,v India,Cuttack,19 Jan 2017,
MM Ali (ENG),102,79,57,7,8,178.94,1,,v West Indies,Bristol,24 Sep 2017,
JE Root (ENG),102,155,101,6,2,100.99,1,,v New Zealand,Dunedin,7 Mar 2018,
RR Hendricks (SA),102,-,89,8,1,114.60,1,,v Sri Lanka,Pallekele,5 Aug 2018,
Sabbir Rahman (BAN),102,158,110,12,2,92.72,2,,v New Zealand,Dunedin,20 Feb 2019,
JE Root (ENG),102,167,97,9,0,105.15,2,,v West Indies,Bridgetown,20 Feb 2019,
RG Sharma (IND),102,152,109,15,0,93.57,2,,v England,Birmingham,30 Jun 2019,
KL Rahul (IND),102,-,104,8,3,98.07,1,,v West Indies,Visakhapatnam,18 Dec 2019,
JM Vince (ENG),102,160,95,11,0,107.36,2,,v Pakistan,Birmingham,13 Jul 2021,
Litton Das (BAN),102,191,114,8,0,89.47,1,,v Zimbabwe,Harare,16 Jul 2021,
KL Rahul (IND),102,98,64,11,4,159.37,1,,v Netherlands,Bengaluru,12 Nov 2023,
Sarfaraz Ahmed (PAK),101*,200,124,6,0,81.45,2,,v Ireland,Adelaide,15 Mar 2015,
AB de Villiers (SA),101*,152,97,11,1,104.12,2,,v England,Cape Town,14 Feb 2016,
Shoaib Malik (PAK),101*,-,111,10,2,90.99,2,,v West Indies,Providence,11 Apr 2017,
Haris Sohail (PAK),101*,-,115,6,1,87.82,1,,v Australia,Sharjah,22 Mar 2019,
Babar Azam (PAK),101*,198,127,11,0,79.52,2,,v New Zealand,Birmingham,26 Jun 2019,
JJ Roy (ENG),101*,127,86,15,0,117.44,2,,v Netherlands,Amstelveen,22 Jun 2022,
MS Chapman (NZ),101*,108,75,6,7,134.66,2,,v Scotland,Edinburgh,31 Jul 2022,
V Kohli (IND),101*,195,121,10,0,83.47,1,,v South Africa,Eden Gardens,5 Nov 2023,
Shubman Gill (IND),101*,-,129,9,2,78.29,2,,v Bangladesh,Dubai (DICS),20 Feb 2025,
Azhar Ali (PAK),101,166,112,10,0,90.17,1,,v Bangladesh,Mirpur,22 Apr 2015,
JWA Taylor (ENG),101,165,114,5,0,88.59,1,,v Australia,Manchester,8 Sep 2015,
Azhar Ali (PAK),101,-,109,8,1,92.66,1,,v West Indies,Abu Dhabi,5 Oct 2016,
BA Stokes (ENG),101,120,100,8,4,101.00,1,,v Bangladesh,Mirpur,7 Oct 2016,
JE Root (ENG),101,-,108,10,0,93.51,1,,v West Indies,Bridgetown,9 Mar 2017,
Asghar Afghan (AFG),101,126,90,6,6,112.22,1,,v Ireland,Greater Noida,17 Mar 2017,
BA Stokes (ENG),101,124,79,11,3,127.84,1,,v South Africa,Southampton,27 May 2017,
Babar Azam (PAK),101,-,133,6,0,75.93,1,,v Sri Lanka,Abu Dhabi,16 Oct 2017,
SE Marsh (AUS),101,-,92,5,4,109.78,1,,v England,Chester-le-Street,21 Jun 2018,
JJ Roy (ENG),101,-,83,12,2,121.68,2,,v Australia,Chester-le-Street,21 Jun 2018,
Imam-ul-Haq (PAK),101,199,116,8,0,87.06,1,,v South Africa,Centurion,25 Jan 2019,
Mohammad Shahzad (AFG),101,126,88,16,0,114.77,1,,v Ireland,Belfast,21 May 2019,
Fakhar Zaman (PAK),101,155,104,9,3,97.11,1,,v South Africa,Centurion,7 Apr 2021,
TM Head (AUS),101,107,72,12,3,140.27,1,,v Pakistan,Lahore,29 Mar 2022,
DP Conway (NZ),101,137,92,13,1,109.78,1,,v Pakistan,Karachi,11 Jan 2023,
Fakhar Zaman (PAK),101,165,122,10,1,82.78,1,,v New Zealand,Karachi,13 Jan 2023,
RG Sharma (IND),101,113,85,9,6,118.82,1,,v New Zealand,Indore,24 Jan 2023,
DA Miller (SA),101,138,116,8,5,87.06,1,,v Australia,Eden Gardens,16 Nov 2023,
Rahmanullah Gurbaz (AFG),101,168,120,5,7,84.16,2,,v Bangladesh,Sharjah,11 Nov 2024,
Saim Ayub (PAK),101,150,94,13,2,107.44,1,,v South Africa,Johannesburg,22 Dec 2024,
KL Rahul (IND),100*,176,115,7,1,86.95,2,,v Zimbabwe,Harare,11 Jun 2016,
Rahmat Shah (AFG),100*,-,123,8,1,81.30,1,,v Scotland,Edinburgh,4 Jul 2016,
MS Wade (AUS),100*,150,100,7,2,100.00,1,,v Pakistan,Brisbane,13 Jan 2017,
JM Bairstow (ENG),100*,130,97,11,0,103.09,2,,v West Indies,Manchester,19 Sep 2017,
S Dhawan (IND),100*,140,85,13,2,117.64,2,,v Sri Lanka,Visakhapatnam,17 Dec 2017,
JC Buttler (ENG),100*,-,83,6,4,120.48,1,,v Australia,Sydney,21 Jan 2018,
JE Root (ENG),100*,155,120,10,0,83.33,2,,v India,Leeds,17 Jul 2018,
JE Root (ENG),100*,164,94,11,0,106.38,2,,v West Indies,Southampton,14 Jun 2019,
DJ Mitchell (NZ),100*,122,92,9,2,108.69,1,,v Bangladesh,Wellington,26 Mar 2021,
Mehidy Hasan Miraz (BAN),100*,144,83,8,4,120.48,1,,v India,Mirpur,7 Dec 2022,
Mushfiqur Rahim (BAN),100*,83,60,14,2,166.66,1,,v Ireland,Sylhet,20 Mar 2023,
V Kohli (IND),100*,151,111,7,0,90.09,2,,v Pakistan,Dubai (DICS),23 Feb 2025,
S Dhawan (IND),100,119,85,11,5,117.64,2,,v Ireland,Hamilton,10 Mar 2015,
Babar Azam (PAK),100,153,109,7,1,91.74,2,,v Australia,Adelaide,26 Jan 2017,
KS Williamson (NZ),100,148,97,8,3,103.09,1,,v Australia,Birmingham,2 Jun 2017,
Imam-ul-Haq (PAK),100,-,125,5,2,80.00,2,,v Sri Lanka,Abu Dhabi,18 Oct 2017,
MJ Guptill (NZ),100,171,126,10,1,79.36,1,,v Pakistan,Wellington,19 Jan 2018,
AJ Finch (AUS),100,-,106,6,3,94.33,1,,v England,Chester-le-Street,21 Jun 2018,
AT Rayudu (IND),100,-,81,8,4,123.45,1,,v West Indies,Brabourne,29 Oct 2018,
UT Khawaja (AUS),100,-,106,10,2,94.33,1,,v India,Delhi,13 Mar 2019,
AJ Finch (AUS),100,144,116,11,2,86.20,1,,v England,Lord's,25 Jun 2019,
Imam-ul-Haq (PAK),100,172,100,7,0,100.00,1,,v Bangladesh,Lord's,5 Jul 2019,
F du Plessis (SA),100,125,94,7,2,106.38,1,,v Australia,Manchester,6 Jul 2019,
Ibrahim Zadran (AFG),100,223,119,9,1,84.03,1,,v Bangladesh,Chattogram,8 Jul 2023,
Q de Kock (SA),100,140,84,12,3,119.04,1,,v Sri Lanka,Delhi,7 Oct 2023,
Towhid Hridoy (BAN),100,185,118,6,2,84.74,1,,v India,Dubai (DICS),20 Feb 2025,
AB de Villiers (SA),99,115,82,6,4,120.73,1,,v U.A.E.,Wellington,12 Mar 2015,
RG Sharma (IND),99,142,108,9,1,91.66,2,,v Australia,Sydney,23 Jan 2016,
AD Hales (ENG),99,179,124,8,0,79.83,2,,v South Africa,Gqeberha,6 Feb 2016,
Mushfiqur Rahim (BAN),99,-,116,9,0,85.34,1,,v Pakistan,Abu Dhabi,26 Sep 2018,
BA Stokes (ENG),99,90,52,4,10,190.38,2,,v India,Pune,26 Mar 2021,
DA Warner (AUS),99,169,112,12,0,88.39,2,,v Sri Lanka,Colombo (RPS),21 Jun 2022,
AT Carey (AUS),99,125,77,9,4,128.57,2,,v South Africa,Centurion,15 Sep 2023,
Mushfiqur Rahim (BAN),98*,-,110,6,1,89.09,1,,v Sri Lanka,Colombo (RPS),28 Jul 2019,
Shubman Gill (IND),98*,162,98,7,2,100.00,1,,v West Indies,Port of Spain,27 Jul 2022,
DA Warner (AUS),98,120,79,8,4,124.05,2,,v New Zealand,Wellington,6 Feb 2016,
UT Khawaja (AUS),98,178,123,4,3,79.67,1,,v West Indies,Basseterre,13 Jun 2016,
Q de Kock (SA),98,144,103,11,0,95.14,2,,v England,Southampton,27 May 2017,
GJ Maxwell (AUS),98,-,82,9,3,119.51,1,,v Pakistan,Dubai (DICS),29 Mar 2019,
UT Khawaja (AUS),98,-,111,10,0,88.28,1,,v Pakistan,Dubai (DICS),31 Mar 2019,
SPD Smith (AUS),98,-,102,9,1,96.07,2,,v India,Rajkot,17 Jan 2020,
T Bavuma (SA),98,150,103,5,2,95.14,2,,v England,Cape Town,4 Feb 2020,
S Dhawan (IND),98,180,106,11,2,92.45,1,,v England,Pune,23 Mar 2021,
TWM Latham (NZ),98,122,85,8,1,115.29,1,,v Pakistan,Rawalpindi,29 Apr 2023,
Ibrahim Zadran (AFG),98,131,98,11,2,100.00,2,,v Sri Lanka,Hambantota,2 Jun 2023,
Mahmudullah (BAN),98,145,98,7,3,100.00,1,,v Afghanistan,Sharjah,11 Nov 2024,
Hashmatullah Shahidi (AFG),97*,-,118,7,0,82.20,1,,v Pakistan,Abu Dhabi,21 Sep 2018,
JDS Neesham (NZ),97*,158,112,5,3,86.60,1,,v Pakistan,Birmingham,26 Jun 2019,
KL Rahul (IND),97*,180,115,8,2,84.34,2,,v Australia,Chennai,8 Oct 2023,
Azmatullah Omarzai (AFG),97*,173,107,7,3,90.65,1,,v South Africa,Ahmedabad,10 Nov 2023,
KS Williamson (NZ),97,124,102,11,1,95.09,1,,v Zimbabwe,Harare,2 Aug 2015,
NT Broom (NZ),97,137,97,12,1,100.00,2,,v Bangladesh,Nelson,31 Dec 2016,
Shakib Al Hasan (BAN),97,-,121,6,0,80.16,1,,v West Indies,Providence,22 Jul 2018,
Sarfaraz Ahmed (PAK),97,107,80,7,2,121.25,2,,v England,Leeds,19 May 2019,
S Dhawan (IND),97,149,99,10,3,97.97,1,,v West Indies,Port of Spain,22 Jul 2022,
H Klaasen (SA),97,125,74,8,4,131.08,2,,v Pakistan,Cape Town,19 Dec 2024,
DP Conway (NZ),97,159,107,9,1,90.65,2,,v South Africa,Lahore,10 Feb 2025,
Shoaib Malik (PAK),96*,194,106,8,1,90.56,2,,v Zimbabwe,Harare,3 Oct 2015,
