,player,runs,mins,bf,4s,6s,sr,inns_batting,overs,mdns,runs_given,wkts,econ,inns_bowling,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country,runs_clean,Credits,Player Type,Player Name,Team,Bowling Style,fantasy_points,preferred_style,opponent_tier
88,Shubman Gill,,0,129,9,2,78.29,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v Bangladesh,Dubai (DICS),2025-02-20,IND,101.0,8.5,BAT,Shubman Gill,IND,,201.0,SPIN,3
89,Mohammed Shami,,0,0,0,0,0.0,2,10.0,0,53,5,5.3,1,1.0,1,0,0,1,v Bangladesh,Dubai (DICS),2025-02-20,IND,,8.5,BOWL,Mohammed Shami,IND,Pace,141.0,SPIN,3
90,Taskin Ahmed,3.0,16,6,0,0,50.0,1,9.0,0,36,1,4.0,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN,3.0,8.5,BOWL,Taskin Ahmed,BAN,Pace,34.0,SPIN,1
91,V Kohli,22.0,0,38,1,0,57.89,2,DNB,0,0,0,0.0,1,2.0,2,0,0,2,v Bangladesh,Dubai (DICS),2025-02-20,IND,22.0,9.0,BAT,Virat Kohli,IND,,46.0,SPIN,3
92,Soumya Sarkar,0.0,4,5,0,0,0.0,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v India,Dubai (DICS),2025-02-20,BAN,0.0,7.0,BAT,Soumya Sarkar,BAN,,9.0,SPIN,1
93,Mushfiqur Rahim,0.0,1,1,0,0,0.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN,0.0,8.0,WK,Mushfiqur Rahim,BAN,,1.0,SPIN,1
94,RG Sharma,41.0,0,36,7,0,113.88,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND,41.0,9.0,BAT,Rohit Sharma,IND,,79.0,SPIN,3
95,Tanzim Hasan Sakib,0.0,4,4,0,0,0.0,1,8.3,0,58,0,6.82,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN,0.0,7.0,BOWL,Tanzim Sakib,BAN,Pace,4.0,SPIN,1
96,Harshit Rana,,0,0,0,0,0.0,2,7.4,0,31,3,4.04,1,0.0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND,,6.5,BOWL,Harshit Rana,IND,Pace,81.0,SPIN,3
97,RA Jadeja,,0,0,0,0,0.0,2,9.0,0,37,0,4.11,1,0.0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND,,8.0,ALL,Ravindra Jadeja,IND,Spin,6.0,SPIN,3
98,Kuldeep Yadav,,0,0,0,0,0.0,2,10.0,0,43,0,4.3,1,0.0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND,,8.0,BOWL,Kuldeep Yadav,IND,Spin,6.0,SPIN,3
99,Mustafizur Rahman,,4,2,0,0,0.0,1,9.0,0,62,1,6.88,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN,0.0,8.0,BOWL,Mustafizur Rahman,BAN,Pace,29.0,SPIN,1
100,Jaker Ali,68.0,127,114,4,0,59.64,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN,68.0,6.5,WK,Jaker Ali Anik,BAN,,100.0,SPIN,1
101,AR Patel,8.0,0,12,1,0,66.66,2,9.0,1,43,2,4.77,1,0.0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND,8.0,8.0,ALL,Axar Patel,IND,Spin,72.0,SPIN,3
102,Mehidy Hasan Miraz,5.0,22,10,1,0,50.0,1,10.0,0,37,0,3.7,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN,5.0,8.5,ALL,Mehidy Hasan Miraz,BAN,Spin,15.0,SPIN,1
103,Rishad Hossain,18.0,15,12,1,2,150.0,1,10.0,0,38,2,3.8,2,2.0,2,0,0,2,v India,Dubai (DICS),2025-02-20,BAN,18.0,6.5,ALL,Rishad- Hossain,BAN,Spin,106.0,SPIN,1
104,KL Rahul,,0,47,1,2,87.23,2,DNB,0,0,0,0.0,1,3.0,3,0,3,0,v Bangladesh,Dubai (DICS),2025-02-20,IND,41.0,7.5,WK,Lokesh Rahul,IND,,93.0,SPIN,3
105,Najmul Hossain Shanto,0.0,2,2,0,0,0.0,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v India,Dubai (DICS),2025-02-20,BAN,0.0,8.0,BAT,Najmul Hossain Shanto,BAN,,9.0,SPIN,1
106,Towhid Hridoy,100.0,185,118,6,2,84.74,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN,100.0,7.5,BAT,Tawhid Hridoy,BAN,,180.0,SPIN,1
